,Song,Artist,Tempo,Valence,Loudness,Energy,Key,Rank
2086,Whiskey Glasses,Morgan Wallen,149.959,0.707,-4.58,0.68,6,26
2087,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,93.989,0.656,-2.652,0.86,8,27
2088,Pure Water,Mustard & Migos,202.015,0.137,-5.545,0.559,0,28
2089,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,29
2090,Better,Khalid,97.949,0.112,-10.278,0.552,0,30
2091,Pop Out,Polo G Featuring Lil Tjay,168.112,0.261,-7.119,0.639,1,31
2092,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,32
2093,Please Me,Cardi B & Bruno Mars,133.992,0.65,-6.711,0.57,1,33
2094,Act Up,City Girls,97.075,0.313,-4.713,0.638,8,34
2095,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,35
2096,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,36
2097,Good As You,Kane Brown,153.831,0.769,-6.05,0.516,8,37
2098,Truth Hurts,Lizzo,158.087,0.412,-3.046,0.624,4,38
2099,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,39
2100,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,40
2101,Beer Never Broke My Heart,Luke Combs,77.0,0.64,-4.483,0.863,1,41
2102,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,42
2103,Just Us,DJ Khaled Featuring SZA,93.132,0.566,-2.758,0.859,9,43
2104,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",117.988,0.227,-5.628,0.63,7,44
2105,Rumor,Lee Brice,140.975,0.599,-6.857,0.56,9,45
2106,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,46
2107,"Hey Look Ma, I Made It",Panic! At The Disco,107.936,0.58,-3.337,0.833,5,47
2108,Here With Me,Marshmello Featuring CHVRCHES,99.961,0.181,-3.933,0.565,5,48
2109,Look What God Gave Her,Thomas Rhett,113.0,0.883,-3.966,0.85,2,49
2110,Thotiana,Blueface,104.025,0.391,-12.89,0.382,10,50
2111,I Think,"Tyler, The Creator",121.075,0.431,-8.241,0.579,8,51
2112,Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,67.4,0.309,-3.07,0.714,9,52
2113,Homicide,Logic Featuring Eminem,140.055,0.77,-5.667,0.759,10,53
2114,Eyes On You,Chase Rice,97.155,0.476,-6.982,0.652,9,54
2115,Bury A Friend,Billie Eilish,120.046,0.196,-14.505,0.389,8,55
2116,Clout,Offset Featuring Cardi B,140.022,0.424,-7.384,0.622,1,56
2117,Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",94.9,0.61,-3.684,0.685,10,57
2118,Walk Me Home,P!nk,88.038,0.432,-6.119,0.453,1,58
2119,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,59
2120,Miss Me More,Kelsea Ballerini,96.028,0.491,-7.146,0.72,2,60
2121,Murder On My Mind,YNW Melly,115.007,0.74,-7.985,0.73,0,61
2122,Worth It,YK Osiris,123.936,0.422,-4.082,0.528,5,62
2123,Sanguine Paradise,Lil Uzi Vert,134.972,0.207,-6.736,0.603,6,63
2124,Put A Date On It,Yo Gotti Featuring Lil Baby,129.93,0.579,-5.696,0.659,4,64
2125,Running Out Of Time,"Tyler, The Creator",84.281,0.162,-10.6,0.391,6,65
2126,Love Ain't,Eli Young Band,98.007,0.727,-4.645,0.851,11,66
2127,Cool,Jonas Brothers,78.969,0.62,-5.487,0.598,0,68
2128,GIRL,Maren Morris,143.599,0.447,-3.95,0.793,6,69
2129,New Magic Wand,"Tyler, The Creator",139.566,0.464,-5.414,0.73,5,70
2130,Boy With Luv,BTS Featuring Halsey,119.991,0.798,-4.757,0.862,11,71
2131,Big Ole Freak,Megan Thee Stallion,142.979,0.627,-7.694,0.699,2,72
2132,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,139.927,0.475,-4.595,0.846,3,73
2133,A Boy Is A Gun,"Tyler, The Creator",79.568,0.505,-8.302,0.689,2,74
2134,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,79.351,0.702,-5.152,0.833,5,75
2135,Soltera,"Lunay, Daddy Yankee & Bad Bunny",92.016,0.8,-4.271,0.783,5,76
2136,Before I Let Go,Beyonce,102.968,0.435,-5.424,0.842,6,77
2137,Earth,Lil Dicky,95.941,0.676,-4.649,0.664,2,78
2138,Someone You Loved,Lewis Capaldi,109.891,0.446,-5.679,0.405,1,80
2139,Knockin' Boots,Luke Bryan,131.983,0.634,-3.728,0.682,2,81
2140,Girls Need Love,Summer Walker X Drake,97.022,0.0897,-9.481,0.432,6,82
2141,Love Someone,Brett Eldredge,173.995,0.421,-5.011,0.813,9,83
2142,Robbery,Juice WRLD,159.966,0.578,-5.122,0.692,2,84
2143,What's Good,"Tyler, The Creator",98.614,0.486,-10.041,0.425,3,85
2144,What If I Never Get Over You,Lady Antebellum,93.029,0.34,-5.147,0.724,0,86
2145,Shotta Flow,NLE Choppa,120.08,0.568,-4.768,0.511,2,87
2146,Puppet,"Tyler, The Creator",77.572,0.199,-8.967,0.557,8,88
2147,Talk You Out Of It,Florida Georgia Line,119.964,0.558,-4.791,0.708,4,89
2148,Night Shift,Jon Pardi,95.999,0.73,-3.564,0.754,2,90
2149,Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,76.069,0.279,-2.655,0.802,2,91
2150,Go Loko,"YG, Tyga & Jon Z",100.995,0.142,-5.188,0.67,2,92
2151,All To Myself,Dan + Shay,94.975,0.565,-4.616,0.781,1,93
2152,Triggered,Jhene Aiko,89.484,0.363,-9.5,0.411,0,94
2153,On My Way To You,Cody Johnson,157.97,0.245,-5.477,0.538,1,95
2154,Calma,Pedro Capo X Farruko,126.899,0.761,-4.218,0.773,11,96
2155,24/7,Meek Mill Featuring Ella Mai,86.957,0.368,-5.355,0.711,0,97
2156,Here Tonight,Brett Young,96.002,0.448,-5.271,0.776,11,98
2157,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,100.016,0.49,-7.504,0.572,2,99
2158,Te Robare,Nicky Jam X Ozuna,175.997,0.797,-3.572,0.752,2,100
2159,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,136.041,0.639,-5.56,0.619,6,1
2160,Bad Guy,Billie Eilish,135.128,0.562,-10.965,0.425,7,2
2161,Talk,Khalid,135.984,0.346,-8.575,0.4,0,3
2162,I Don't Care,Ed Sheeran & Justin Bieber,101.956,0.842,-5.041,0.675,6,4
2163,Sucker,Jonas Brothers,137.958,0.952,-5.065,0.734,1,5
2164,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,6
2165,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,7
2166,Dancing With A Stranger,Sam Smith & Normani,102.998,0.347,-7.513,0.52,8,8
2167,Suge,DaBaby,75.445,0.844,-6.482,0.662,2,9
2168,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,10
2169,ME!,Taylor Swift Featuring Brendon Urie,182.162,0.728,-4.105,0.83,0,11
2170,The London,"Young Thug, J. Cole & Travis Scott",97.981,0.179,-6.946,0.586,4,12
2171,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,13
2172,7 Rings,Ariana Grande,140.048,0.327,-10.732,0.317,1,14
2173,If I Can't Have You,Shawn Mendes,123.911,0.864,-4.198,0.809,2,15
2174,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,16
2175,Whiskey Glasses,Morgan Wallen,149.959,0.707,-4.58,0.68,6,17
2176,Middle Child,J. Cole,123.984,0.463,-11.713,0.364,8,18
2177,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,19
2178,God's Country,Blake Shelton,144.586,0.434,-10.38,0.325,2,20
2179,Earfquake,"Tyler, The Creator",79.635,0.413,-8.866,0.498,9,21
2180,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,93.989,0.656,-2.652,0.86,8,22
2181,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,23
2182,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,24
2183,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,169.999,0.335,-5.29,0.554,5,25
2184,Truth Hurts,Lizzo,158.087,0.412,-3.046,0.624,4,26
2185,Pop Out,Polo G Featuring Lil Tjay,168.112,0.261,-7.119,0.639,1,27
2186,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,28
2187,Nightmare,Halsey,146.11,0.538,-5.075,0.622,9,29
2188,Pure Water,Mustard & Migos,202.015,0.137,-5.545,0.559,0,30
2189,Act Up,City Girls,97.075,0.313,-4.713,0.638,8,31
2190,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,32
2191,Better,Khalid,97.949,0.112,-10.278,0.552,0,33
2192,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,95.005,0.607,-6.373,0.787,4,34
2193,Please Me,Cardi B & Bruno Mars,133.992,0.65,-6.711,0.57,1,35
2194,Good As You,Kane Brown,153.831,0.769,-6.05,0.516,8,36
2195,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,37
2196,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,38
2197,Beer Never Broke My Heart,Luke Combs,77.0,0.64,-4.483,0.863,1,39
2198,"Hey Look Ma, I Made It",Panic! At The Disco,107.936,0.58,-3.337,0.833,5,40
2199,Rumor,Lee Brice,140.975,0.599,-6.857,0.56,9,41
2200,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,42
2201,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,145.041,0.853,-5.18,0.666,8,43
2202,Look What God Gave Her,Thomas Rhett,113.0,0.883,-3.966,0.85,2,44
2203,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,45
2204,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,46
2205,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,47
2206,Easier,5 Seconds Of Summer,175.813,0.618,-5.604,0.428,5,48
2207,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,49
2208,Thotiana,Blueface,104.025,0.391,-12.89,0.382,10,50
2209,Bury A Friend,Billie Eilish,120.046,0.196,-14.505,0.389,8,51
2210,Miss Me More,Kelsea Ballerini,96.028,0.491,-7.146,0.72,2,52
2211,Go Loko,"YG, Tyga & Jon Z",100.995,0.142,-5.188,0.67,2,53
2212,Eyes On You,Chase Rice,97.155,0.476,-6.982,0.652,9,54
2213,Walk Me Home,P!nk,88.038,0.432,-6.119,0.453,1,55
2214,Here With Me,Marshmello Featuring CHVRCHES,99.961,0.181,-3.933,0.565,5,56
2215,Clout,Offset Featuring Cardi B,140.022,0.424,-7.384,0.622,1,57
2216,Worth It,YK Osiris,123.936,0.422,-4.082,0.528,5,58
2217,Isis,Joyner Lucas Featuring Logic,120.017,0.855,-6.792,0.837,1,59
2218,Just Us,DJ Khaled Featuring SZA,93.132,0.566,-2.758,0.859,9,60
2219,Murder On My Mind,YNW Melly,115.007,0.74,-7.985,0.73,0,61
2220,Love Ain't,Eli Young Band,98.007,0.727,-4.645,0.851,11,62
2221,GIRL,Maren Morris,143.599,0.447,-3.95,0.793,6,63
2222,Cool,Jonas Brothers,78.969,0.62,-5.487,0.598,0,64
2223,Sanguine Paradise,Lil Uzi Vert,134.972,0.207,-6.736,0.603,6,65
2224,Put A Date On It,Yo Gotti Featuring Lil Baby,129.93,0.579,-5.696,0.659,4,66
2225,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",117.988,0.227,-5.628,0.63,7,67
2226,Homicide,Logic Featuring Eminem,140.055,0.77,-5.667,0.759,10,68
2227,Before I Let Go,Beyonce,102.968,0.435,-5.424,0.842,6,69
2228,Someone You Loved,Lewis Capaldi,109.891,0.446,-5.679,0.405,1,70
2229,Big Ole Freak,Megan Thee Stallion,142.979,0.627,-7.694,0.699,2,71
2230,Love Someone,Brett Eldredge,173.995,0.421,-5.011,0.813,9,72
2231,Soltera,"Lunay, Daddy Yankee & Bad Bunny",92.016,0.8,-4.271,0.783,5,73
2232,Knockin' Boots,Luke Bryan,131.983,0.634,-3.728,0.682,2,74
2233,24/7,Meek Mill Featuring Ella Mai,86.957,0.368,-5.355,0.711,0,75
2234,Some Of It,Eric Church,79.843,0.824,-7.306,0.736,0,76
2235,Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,83.655,0.446,-1.996,0.956,7,77
2236,Talk You Out Of It,Florida Georgia Line,119.964,0.558,-4.791,0.708,4,78
2237,Girls Need Love,Summer Walker X Drake,97.022,0.0897,-9.481,0.432,6,79
2238,Calma,Pedro Capo X Farruko,126.899,0.761,-4.218,0.773,11,80
2239,Boy With Luv,BTS Featuring Halsey,119.991,0.798,-4.757,0.862,11,81
2240,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,79.351,0.702,-5.152,0.833,5,82
2241,All To Myself,Dan + Shay,94.975,0.565,-4.616,0.781,1,83
2242,Shotta Flow,NLE Choppa,120.08,0.568,-4.768,0.511,2,84
2243,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,100.016,0.49,-7.504,0.572,2,85
2244,On My Way To You,Cody Johnson,157.97,0.245,-5.477,0.538,1,86
2245,Robbery,Juice WRLD,159.966,0.578,-5.122,0.692,2,87
2246,Night Shift,Jon Pardi,95.999,0.73,-3.564,0.754,2,88
2247,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,139.927,0.475,-4.595,0.846,3,89
2248,Earth,Lil Dicky,95.941,0.676,-4.649,0.664,2,91
2249,Ocean Eyes,Billie Eilish,144.892,0.169,-7.65,0.363,4,92
2250,Juice,Lizzo,119.93,0.843,-2.988,0.889,7,93
2251,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",135.979,0.856,-5.725,0.623,8,94
2252,Te Robare,Nicky Jam X Ozuna,175.997,0.797,-3.572,0.752,2,95
2253,HP,Maluma,91.98,0.618,-3.157,0.791,4,96
2254,Rearview Town,Jason Aldean,141.973,0.338,-4.47,0.85,10,97
2255,Mixed Personalities,YNW Melly Featuring Kanye West,149.937,0.352,-9.104,0.44,2,98
2256,Paradise,Bazzi,122.061,0.591,-6.273,0.644,11,99
2257,Triggered,Jhene Aiko,89.484,0.363,-9.5,0.411,0,100
2258,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,136.041,0.639,-5.56,0.619,6,1
2259,Bad Guy,Billie Eilish,135.128,0.562,-10.965,0.425,7,2
2260,Talk,Khalid,135.984,0.346,-8.575,0.4,0,3
2261,I Don't Care,Ed Sheeran & Justin Bieber,101.956,0.842,-5.041,0.675,6,4
2262,Sucker,Jonas Brothers,137.958,0.952,-5.065,0.734,1,5
2263,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,6
2264,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,7
2265,Suge,DaBaby,75.445,0.844,-6.482,0.662,2,8
2266,Dancing With A Stranger,Sam Smith & Normani,102.998,0.347,-7.513,0.52,8,9
2267,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,10
2268,ME!,Taylor Swift Featuring Brendon Urie,182.162,0.728,-4.105,0.83,0,11
2269,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,12
2270,7 Rings,Ariana Grande,140.048,0.327,-10.732,0.317,1,13
2271,If I Can't Have You,Shawn Mendes,123.911,0.864,-4.198,0.809,2,14
2272,Never Really Over,Katy Perry,99.991,0.385,-4.792,0.882,8,15
2273,Press,Cardi B,133.983,0.243,-5.665,0.525,1,16
2274,The London,"Young Thug, J. Cole & Travis Scott",97.981,0.179,-6.946,0.586,4,17
2275,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,18
2276,God's Country,Blake Shelton,144.586,0.434,-10.38,0.325,2,19
2277,Whiskey Glasses,Morgan Wallen,149.959,0.707,-4.58,0.68,6,20
2278,Truth Hurts,Lizzo,158.087,0.412,-3.046,0.624,4,21
2279,Pop Out,Polo G Featuring Lil Tjay,168.112,0.261,-7.119,0.639,1,22
2280,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,23
2281,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,93.989,0.656,-2.652,0.86,8,24
2282,Middle Child,J. Cole,123.984,0.463,-11.713,0.364,8,25
2283,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,26
2284,Earfquake,"Tyler, The Creator",79.635,0.413,-8.866,0.498,9,27
2285,Act Up,City Girls,97.075,0.313,-4.713,0.638,8,28
2286,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,29
2287,Pure Water,Mustard & Migos,202.015,0.137,-5.545,0.559,0,30
2288,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,169.999,0.335,-5.29,0.554,5,31
2289,Look What God Gave Her,Thomas Rhett,113.0,0.883,-3.966,0.85,2,32
2290,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,33
2291,Better,Khalid,97.949,0.112,-10.278,0.552,0,34
2292,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,35
2293,Nightmare,Halsey,146.11,0.538,-5.075,0.622,9,36
2294,Rumor,Lee Brice,140.975,0.599,-6.857,0.56,9,37
2295,Beer Never Broke My Heart,Luke Combs,77.0,0.64,-4.483,0.863,1,38
2296,"Hey Look Ma, I Made It",Panic! At The Disco,107.936,0.58,-3.337,0.833,5,39
2297,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,40
2298,Good As You,Kane Brown,153.831,0.769,-6.05,0.516,8,41
2299,Please Me,Cardi B & Bruno Mars,133.992,0.65,-6.711,0.57,1,42
2300,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,43
2301,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,44
2302,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,45
2303,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,95.005,0.607,-6.373,0.787,4,46
2304,Miss Me More,Kelsea Ballerini,96.028,0.491,-7.146,0.72,2,47
2305,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,48
2306,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,49
2307,Go Loko,"YG, Tyga & Jon Z",100.995,0.142,-5.188,0.67,2,50
2308,Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,145.041,0.853,-5.18,0.666,8,51
2309,Walk Me Home,P!nk,88.038,0.432,-6.119,0.453,1,52
2310,Bury A Friend,Billie Eilish,120.046,0.196,-14.505,0.389,8,53
2311,Clout,Offset Featuring Cardi B,140.022,0.424,-7.384,0.622,1,55
2312,Worth It,YK Osiris,123.936,0.422,-4.082,0.528,5,56
2313,Love Someone,Brett Eldredge,173.995,0.421,-5.011,0.813,9,57
2314,Someone You Loved,Lewis Capaldi,109.891,0.446,-5.679,0.405,1,58
2315,Cool,Jonas Brothers,78.969,0.62,-5.487,0.598,0,59
2316,Here With Me,Marshmello Featuring CHVRCHES,99.961,0.181,-3.933,0.565,5,60
2317,GIRL,Maren Morris,143.599,0.447,-3.95,0.793,6,61
2318,Just Us,DJ Khaled Featuring SZA,93.132,0.566,-2.758,0.859,9,62
2319,Easier,5 Seconds Of Summer,175.813,0.618,-5.604,0.428,5,63
2320,Knockin' Boots,Luke Bryan,131.983,0.634,-3.728,0.682,2,64
2321,Eyes On You,Chase Rice,97.155,0.476,-6.982,0.652,9,65
2322,Girls Need Love,Summer Walker X Drake,97.022,0.0897,-9.481,0.432,6,66
2323,Call You Mine,The Chainsmokers & Bebe Rexha,104.01,0.522,-5.6,0.696,4,67
2324,Love Ain't,Eli Young Band,98.007,0.727,-4.645,0.851,11,68
2325,Murder On My Mind,YNW Melly,115.007,0.74,-7.985,0.73,0,69
2326,The Search,NF,119.957,0.39,-4.788,0.786,2,70
2327,Sanguine Paradise,Lil Uzi Vert,134.972,0.207,-6.736,0.603,6,71
2328,Before I Let Go,Beyonce,102.968,0.435,-5.424,0.842,6,72
2329,Put A Date On It,Yo Gotti Featuring Lil Baby,129.93,0.579,-5.696,0.659,4,73
2330,Soltera,"Lunay, Daddy Yankee & Bad Bunny",92.016,0.8,-4.271,0.783,5,74
2331,All To Myself,Dan + Shay,94.975,0.565,-4.616,0.781,1,75
2332,24/7,Meek Mill Featuring Ella Mai,86.957,0.368,-5.355,0.711,0,76
2333,Big Ole Freak,Megan Thee Stallion,142.979,0.627,-7.694,0.699,2,77
2334,On My Way To You,Cody Johnson,157.97,0.245,-5.477,0.538,1,78
2335,Isis,Joyner Lucas Featuring Logic,120.017,0.855,-6.792,0.837,1,79
2336,Some Of It,Eric Church,79.843,0.824,-7.306,0.736,0,80
2337,Talk You Out Of It,Florida Georgia Line,119.964,0.558,-4.791,0.708,4,81
2338,Shotta Flow,NLE Choppa,120.08,0.568,-4.768,0.511,2,82
2339,Calma,Pedro Capo X Farruko,126.899,0.761,-4.218,0.773,11,83
2340,You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",117.988,0.227,-5.628,0.63,7,84
2341,Homicide,Logic Featuring Eminem,140.055,0.77,-5.667,0.759,10,85
2342,Ocean Eyes,Billie Eilish,144.892,0.169,-7.65,0.363,4,86
2343,Robbery,Juice WRLD,159.966,0.578,-5.122,0.692,2,87
2344,Rearview Town,Jason Aldean,141.973,0.338,-4.47,0.85,10,88
2345,Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,100.016,0.49,-7.504,0.572,2,89
2346,Boy With Luv,BTS Featuring Halsey,119.991,0.798,-4.757,0.862,11,90
2347,Shut Up About Politics,John Rich Featuring The Five,136.144,0.702,-3.528,0.848,2,91
2348,La La Land,Bryce Vine Featuring YG,97.953,0.416,-5.122,0.473,1,92
2349,Ran$om,Lil Tecca,105.014,0.0774,-7.844,0.813,11,93
2350,Under Enemy Arms,Trippie Redd,129.954,0.644,-5.453,0.756,9,94
2351,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,79.351,0.702,-5.152,0.833,5,95
2352,Te Robare,Nicky Jam X Ozuna,175.997,0.797,-3.572,0.752,2,96
2353,Raised On Country,Chris Young,148.095,0.79,-3.224,0.794,2,97
2354,Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",135.979,0.856,-5.725,0.623,8,98
2355,Trampoline,SHAED,126.803,0.498,-5.782,0.459,7,99
2356,Night Shift,Jon Pardi,95.999,0.73,-3.564,0.754,2,100
2357,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,136.041,0.639,-5.56,0.619,6,1
2358,Bad Guy,Billie Eilish,135.128,0.562,-10.965,0.425,7,2
2359,Talk,Khalid,135.984,0.346,-8.575,0.4,0,3
2360,Sucker,Jonas Brothers,137.958,0.952,-5.065,0.734,1,4
2361,I Don't Care,Ed Sheeran & Justin Bieber,101.956,0.842,-5.041,0.675,6,5
2362,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,6
2363,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,7
2364,Suge,DaBaby,75.445,0.844,-6.482,0.662,2,8
2365,No Guidance,Chris Brown Featuring Drake,92.932,0.137,-6.756,0.454,1,9
2366,Dancing With A Stranger,Sam Smith & Normani,102.998,0.347,-7.513,0.52,8,10
2367,Pop Out,Polo G Featuring Lil Tjay,168.112,0.261,-7.119,0.639,1,11
2368,If I Can't Have You,Shawn Mendes,123.911,0.864,-4.198,0.809,2,12
2369,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,13
2370,ME!,Taylor Swift Featuring Brendon Urie,182.162,0.728,-4.105,0.83,0,14
2371,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,15
2372,7 Rings,Ariana Grande,140.048,0.327,-10.732,0.317,1,16
2373,Truth Hurts,Lizzo,158.087,0.412,-3.046,0.624,4,17
2374,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,18
2375,God's Country,Blake Shelton,144.586,0.434,-10.38,0.325,2,19
2376,Whiskey Glasses,Morgan Wallen,149.959,0.707,-4.58,0.68,6,20
2377,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,21
2378,Beer Never Broke My Heart,Luke Combs,77.0,0.64,-4.483,0.863,1,22
2379,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,93.989,0.656,-2.652,0.86,8,23
2380,The London,"Young Thug, J. Cole & Travis Scott",97.981,0.179,-6.946,0.586,4,24
2381,Middle Child,J. Cole,123.984,0.463,-11.713,0.364,8,25
2382,Act Up,City Girls,97.075,0.313,-4.713,0.638,8,26
2383,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,27
2384,Never Really Over,Katy Perry,99.991,0.385,-4.792,0.882,8,28
2385,Pure Water,Mustard & Migos,202.015,0.137,-5.545,0.559,0,29
2386,Earfquake,"Tyler, The Creator",79.635,0.413,-8.866,0.498,9,30
2387,"Hey Look Ma, I Made It",Panic! At The Disco,107.936,0.58,-3.337,0.833,5,31
2388,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,32
2389,Speechless,Dan + Shay,135.929,0.386,-5.968,0.438,1,33
2390,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,34
2391,Better,Khalid,97.949,0.112,-10.278,0.552,0,35
2392,Rumor,Lee Brice,140.975,0.599,-6.857,0.56,9,36
2393,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,169.999,0.335,-5.29,0.554,5,37
2394,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,38
2395,Look What God Gave Her,Thomas Rhett,113.0,0.883,-3.966,0.85,2,39
2396,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,40
2397,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,41
2398,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,42
2399,Nightmare,Halsey,146.11,0.538,-5.075,0.622,9,43
2400,Cool,Jonas Brothers,78.969,0.62,-5.487,0.598,0,44
2401,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,45
2402,Good As You,Kane Brown,153.831,0.769,-6.05,0.516,8,46
2403,Press,Cardi B,133.983,0.243,-5.665,0.525,1,47
2404,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,48
2405,Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,95.005,0.607,-6.373,0.787,4,49
2406,Go Loko,"YG, Tyga & Jon Z",100.995,0.142,-5.188,0.67,2,50
2407,Please Me,Cardi B & Bruno Mars,133.992,0.65,-6.711,0.57,1,51
2408,Love Someone,Brett Eldredge,173.995,0.421,-5.011,0.813,9,52
2409,Clout,Offset Featuring Cardi B,140.022,0.424,-7.384,0.622,1,53
2410,Worth It,YK Osiris,123.936,0.422,-4.082,0.528,5,54
2411,Someone You Loved,Lewis Capaldi,109.891,0.446,-5.679,0.405,1,55
2412,Miss Me More,Kelsea Ballerini,96.028,0.491,-7.146,0.72,2,56
2413,Walk Me Home,P!nk,88.038,0.432,-6.119,0.453,1,57
2414,Bury A Friend,Billie Eilish,120.046,0.196,-14.505,0.389,8,58
2415,GIRL,Maren Morris,143.599,0.447,-3.95,0.793,6,59
