,Song,Artist,Tempo,Valence,Loudness,Energy,Key,Rank
1307,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,20
1308,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,21
1309,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,22
1310,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,23
1311,Be Alright,Dean Lewis,126.684,0.443,-6.319,0.586,11,24
1312,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,25
1313,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,26
1314,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,144.111,0.492,-5.029,0.758,1,27
1315,Money,Cardi B,130.003,0.219,-6.508,0.59,8,28
1316,Better Now,Post Malone,145.038,0.341,-5.804,0.578,10,29
1317,You Say,Lauren Daigle,147.892,0.0791,-6.89,0.632,5,30
1318,Pure Water,Mustard & Migos,202.015,0.137,-5.545,0.559,0,31
1319,Youngblood,5 Seconds Of Summer,120.274,0.152,-5.114,0.854,7,32
1320,Baby Shark,Pinkfong,115.062,0.52,-3.651,0.84,7,33
1321,MIA,Bad Bunny Featuring Drake,97.062,0.158,-6.349,0.539,6,34
1322,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,35
1323,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,36
1324,Robbery,Juice WRLD,159.966,0.578,-5.122,0.692,2,37
1325,ZEZE,Kodak Black Featuring Travis Scott & Offset,98.043,0.504,-5.788,0.603,8,38
1326,Tequila,Dan + Shay,86.016,0.494,-5.731,0.581,11,39
1327,Talk,Khalid,135.984,0.346,-8.575,0.4,0,40
1328,Bury A Friend,Billie Eilish,120.046,0.196,-14.505,0.389,8,41
1329,Mixed Personalities,YNW Melly Featuring Kanye West,149.937,0.352,-9.104,0.44,2,42
1330,Act Up,City Girls,97.075,0.313,-4.713,0.638,8,43
1331,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,93.023,0.434,-5.239,0.662,9,44
1332,I Like It,"Cardi B, Bad Bunny & J Balvin",136.048,0.65,-3.998,0.726,5,45
1333,Put A Date On It,Yo Gotti Featuring Lil Baby,129.93,0.579,-5.696,0.659,4,46
1334,Lucid Dreams,Juice WRLD,83.903,0.218,-7.23,0.566,6,47
1335,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",95.881,0.617,-4.167,0.801,8,48
1336,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,93.989,0.656,-2.652,0.86,8,49
1337,Twerk,City Girls Featuring Cardi B,190.077,0.481,-4.006,0.842,4,50
1338,Here Tonight,Brett Young,96.002,0.448,-5.271,0.776,11,51
1339,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,139.927,0.475,-4.595,0.846,3,52
1340,Here With Me,Marshmello Featuring CHVRCHES,99.961,0.181,-3.933,0.565,5,53
1341,Eyes On You,Chase Rice,97.155,0.476,-6.982,0.652,9,54
1342,Worth It,YK Osiris,123.936,0.422,-4.082,0.528,5,55
1343,Bad Liar,Imagine Dragons,177.913,0.0827,-6.993,0.637,3,56
1344,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,57
1345,Girls Need Love,Summer Walker X Drake,97.022,0.0897,-9.481,0.432,6,58
1346,Good As You,Kane Brown,153.831,0.769,-6.05,0.516,8,59
1347,Miss Me More,Kelsea Ballerini,96.028,0.491,-7.146,0.72,2,60
1348,Undrunk,FLETCHER,91.863,0.551,-6.484,0.579,5,61
1349,Shot Clock,Ella Mai,95.11,0.434,-6.008,0.512,4,62
1350,Walk Me Home,P!nk,88.038,0.432,-6.119,0.453,1,63
1351,Millionaire,Chris Stapleton,142.689,0.493,-9.608,0.474,10,64
1352,Down To The Honkytonk,Jake Owen,82.021,0.937,-4.12,0.808,3,65
1353,Whiskey Glasses,Morgan Wallen,149.959,0.707,-4.58,0.68,6,66
1354,One That Got Away,Michael Ray,160.003,0.609,-4.245,0.825,10,67
1355,This Is It,Scotty McCreery,156.042,0.602,-6.788,0.511,8,68
1356,Look What God Gave Her,Thomas Rhett,113.0,0.883,-3.966,0.85,2,69
1357,Pure Cocaine,Lil Baby,127.05,0.107,-6.071,0.487,10,70
1358,There Was This Girl,Riley Green,127.981,0.94,-4.223,0.877,1,71
1359,Price On My Head,NAV Featuring The Weeknd,74.949,0.278,-6.104,0.574,6,72
1360,Saturday Nights,Khalid & Kane Brown,167.923,0.341,-8.559,0.44,10,73
1361,Make It Sweet,Old Dominion,180.166,0.555,-4.453,0.837,7,74
1362,Girl Like You,Jason Aldean,144.057,0.483,-4.204,0.88,3,76
1363,GIRL,Maren Morris,143.599,0.447,-3.95,0.793,6,77
1364,Confessions Of A Dangerous Mind,Logic,141.97,0.637,-4.093,0.756,7,78
1365,Take It From Me,Jordan Davis,99.983,0.674,-3.144,0.891,10,79
1366,Splashin,Rich The Kid,100.017,0.379,-8.099,0.382,10,80
1367,Night Shift,Jon Pardi,95.999,0.73,-3.564,0.754,2,81
1368,I,Lil Skies,99.183,0.431,-7.28,0.453,6,82
1369,Rumor,Lee Brice,140.975,0.599,-6.857,0.56,9,83
1370,Wish You Were Gay,Billie Eilish,118.028,0.282,-10.198,0.351,7,84
1371,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",95.266,0.69,-4.039,0.468,10,85
1372,Hear Me Calling,Juice WRLD,88.932,0.499,-3.997,0.687,7,86
1373,Faucet Failure,Ski Mask The Slump God,99.993,0.615,-9.373,0.552,10,87
1374,Talk You Out Of It,Florida Georgia Line,119.964,0.558,-4.791,0.708,4,88
1375,Tap,NAV Featuring Meek Mill,85.018,0.452,-7.033,0.676,2,89
1376,Calma,Pedro Capo X Farruko,126.899,0.761,-4.218,0.773,11,90
1377,Undecided,Chris Brown,96.37,0.589,-5.318,0.527,3,91
1378,On My Way To You,Cody Johnson,157.97,0.245,-5.477,0.538,1,92
1379,Secreto,Anuel AA & Karol G,91.987,0.706,-4.156,0.803,11,93
1380,Calling My Spirit,Kodak Black,119.985,0.74,-9.954,0.366,1,94
1381,Pop Out,Polo G Featuring Lil Tjay,168.112,0.261,-7.119,0.639,1,95
1382,Lovely,Billie Eilish & Khalid,115.284,0.12,-10.109,0.296,4,96
1383,Last Hurrah,Bebe Rexha,84.259,0.401,-4.585,0.618,11,98
1384,Empty,Juice WRLD,77.557,0.449,-4.869,0.561,0,99
1385,Love Wins,Carrie Underwood,135.115,0.325,-4.697,0.865,7,100
1386,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,136.041,0.639,-5.56,0.619,6,1
1387,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,2
1388,7 Rings,Ariana Grande,140.048,0.327,-10.732,0.317,1,3
1389,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,4
1390,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,5
1391,Please Me,Cardi B & Bruno Mars,133.992,0.65,-6.711,0.57,1,6
1392,Bad Guy,Billie Eilish,135.128,0.562,-10.965,0.425,7,7
1393,Sucker,Jonas Brothers,137.958,0.952,-5.065,0.734,1,8
1394,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,9
1395,Middle Child,J. Cole,123.984,0.463,-11.713,0.364,8,10
1396,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,11
1397,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,12
1398,Thotiana,Blueface,104.025,0.391,-12.89,0.382,10,13
1399,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,14
1400,Dancing With A Stranger,Sam Smith & Normani,102.998,0.347,-7.513,0.52,8,15
1401,Better,Khalid,97.949,0.112,-10.278,0.552,0,16
1402,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,17
1403,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,169.999,0.335,-5.29,0.554,5,18
1404,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,19
1405,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,20
1406,Murder On My Mind,YNW Melly,115.007,0.74,-7.985,0.73,0,21
1407,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,22
1408,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,23
1409,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,24
1410,Bury A Friend,Billie Eilish,120.046,0.196,-14.505,0.389,8,25
1411,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,26
1412,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,144.111,0.492,-5.029,0.758,1,27
1413,Be Alright,Dean Lewis,126.684,0.443,-6.319,0.586,11,28
1414,When The Party's Over,Billie Eilish,82.642,0.198,-14.084,0.111,4,29
1415,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,30
1416,Wish You Were Gay,Billie Eilish,118.028,0.282,-10.198,0.351,7,31
1417,You Say,Lauren Daigle,147.892,0.0791,-6.89,0.632,5,32
1418,Pure Water,Mustard & Migos,202.015,0.137,-5.545,0.559,0,33
1419,Better Now,Post Malone,145.038,0.341,-5.804,0.578,10,34
1420,Xanny,Billie Eilish,111.554,0.0528,-17.832,0.125,9,35
1421,Money,Cardi B,130.003,0.219,-6.508,0.59,8,36
1422,Look Back At It,A Boogie Wit da Hoodie,96.057,0.536,-5.075,0.587,3,37
1423,Envy Me,Calboy,149.042,0.584,-7.664,0.488,1,38
1424,Talk,Khalid,135.984,0.346,-8.575,0.4,0,39
1425,Youngblood,5 Seconds Of Summer,120.274,0.152,-5.114,0.854,7,40
1426,You Should See Me In A Crown,Billie Eilish,150.455,0.323,-10.485,0.533,4,41
1427,Baby Shark,Pinkfong,115.062,0.52,-3.651,0.84,7,42
1428,My Strange Addiction,Billie Eilish,100.029,0.563,-10.952,0.305,8,43
1429,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,79.351,0.702,-5.152,0.833,5,44
1430,MIA,Bad Bunny Featuring Drake,97.062,0.158,-6.349,0.539,6,45
1431,All The Good Girls Go To Hell,Billie Eilish,185.044,0.569,-8.922,0.444,8,46
1432,Act Up,City Girls,97.075,0.313,-4.713,0.638,8,47
1433,Robbery,Juice WRLD,159.966,0.578,-5.122,0.692,2,48
1434,ZEZE,Kodak Black Featuring Travis Scott & Offset,98.043,0.504,-5.788,0.603,8,49
1435,Tequila,Dan + Shay,86.016,0.494,-5.731,0.581,11,50
1436,Here Tonight,Brett Young,96.002,0.448,-5.271,0.776,11,51
1437,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,93.023,0.434,-5.239,0.662,9,52
1438,I Love You,Billie Eilish,137.446,0.12,-18.435,0.131,0,53
1439,Mixed Personalities,YNW Melly Featuring Kanye West,149.937,0.352,-9.104,0.44,2,54
1440,Here With Me,Marshmello Featuring CHVRCHES,99.961,0.181,-3.933,0.565,5,55
1441,Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,139.927,0.475,-4.595,0.846,3,56
1442,Put A Date On It,Yo Gotti Featuring Lil Baby,129.93,0.579,-5.696,0.659,4,57
1443,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,93.989,0.656,-2.652,0.86,8,58
1444,God's Country,Blake Shelton,144.586,0.434,-10.38,0.325,2,59
1445,Worth It,YK Osiris,123.936,0.422,-4.082,0.528,5,60
1446,Eyes On You,Chase Rice,97.155,0.476,-6.982,0.652,9,61
1447,Ilomilo,Billie Eilish,120.02,0.572,-15.044,0.423,5,62
1448,Listen Before I Go,Billie Eilish,79.764,0.082,-23.023,0.0561,0,63
1449,Close Friends,Lil Baby,158.896,0.698,-4.669,0.578,10,64
1450,Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,107.978,0.239,-8.32,0.436,2,65
1451,Bad Liar,Imagine Dragons,177.913,0.0827,-6.993,0.637,3,66
1452,Whiskey Glasses,Morgan Wallen,149.959,0.707,-4.58,0.68,6,67
1453,Good As You,Kane Brown,153.831,0.769,-6.05,0.516,8,68
1454,One That Got Away,Michael Ray,160.003,0.609,-4.245,0.825,10,69
1455,Monopoly,Ariana Grande & Victoria Monet,143.96,0.695,-8.282,0.507,0,70
1456,Miss Me More,Kelsea Ballerini,96.028,0.491,-7.146,0.72,2,71
1457,Shot Clock,Ella Mai,95.11,0.434,-6.008,0.512,4,72
1458,Make It Sweet,Old Dominion,180.166,0.555,-4.453,0.837,7,73
1459,Look What God Gave Her,Thomas Rhett,113.0,0.883,-3.966,0.85,2,74
1460,There Was This Girl,Riley Green,127.981,0.94,-4.223,0.877,1,75
1461,Girls Need Love,Summer Walker X Drake,97.022,0.0897,-9.481,0.432,6,76
1462,Undrunk,FLETCHER,91.863,0.551,-6.484,0.579,5,77
1463,8,Billie Eilish,62.446,0.462,-13.239,0.235,3,79
1464,Walk Me Home,P!nk,88.038,0.432,-6.119,0.453,1,80
1465,Saturday Nights,Khalid & Kane Brown,167.923,0.341,-8.559,0.44,10,81
1466,Last Time That I Checc'd,Nipsey Hussle Featuring YG,96.024,0.279,-4.224,0.746,1,82
1467,Twerk,City Girls Featuring Cardi B,190.077,0.481,-4.006,0.842,4,83
1468,GIRL,Maren Morris,143.599,0.447,-3.95,0.793,6,84
1469,Lovely,Billie Eilish & Khalid,115.284,0.12,-10.109,0.296,4,85
1470,Calma,Pedro Capo X Farruko,126.899,0.761,-4.218,0.773,11,86
1471,Suge,DaBaby,75.445,0.844,-6.482,0.662,2,87
1472,Night Shift,Jon Pardi,95.999,0.73,-3.564,0.754,2,88
1473,This Is It,Scotty McCreery,156.042,0.602,-6.788,0.511,8,89
1474,Rumor,Lee Brice,140.975,0.599,-6.857,0.56,9,90
1475,I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",95.266,0.69,-4.039,0.468,10,91
1476,Dedication,Nipsey Hussle Featuring Kendrick Lamar,93.995,0.168,-5.448,0.734,8,93
1477,Ocean Eyes,Billie Eilish,144.892,0.169,-7.65,0.363,4,94
1478,Millionaire,Chris Stapleton,142.689,0.493,-9.608,0.474,10,95
1479,Talk You Out Of It,Florida Georgia Line,119.964,0.558,-4.791,0.708,4,96
1480,Faucet Failure,Ski Mask The Slump God,99.993,0.615,-9.373,0.552,10,97
1481,Girl Like You,Jason Aldean,144.057,0.483,-4.204,0.88,3,98
1482,Pure Cocaine,Lil Baby,127.05,0.107,-6.071,0.487,10,99
1483,Pop Out,Polo G Featuring Lil Tjay,168.112,0.261,-7.119,0.639,1,100
1484,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,136.041,0.639,-5.56,0.619,6,1
1485,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,89.911,0.913,-5.574,0.479,2,2
1486,Wow.,Post Malone,99.96,0.388,-7.359,0.539,11,3
1487,7 Rings,Ariana Grande,140.048,0.327,-10.732,0.317,1,4
1488,Without Me,Halsey,136.041,0.533,-7.05,0.488,6,5
1489,Sucker,Jonas Brothers,137.958,0.952,-5.065,0.734,1,6
1490,Please Me,Cardi B & Bruno Mars,133.992,0.65,-6.711,0.57,1,7
1491,Better,Khalid,97.949,0.112,-10.278,0.552,0,8
1492,Middle Child,J. Cole,123.984,0.463,-11.713,0.364,8,9
1493,Happier,Marshmello & Bastille,100.015,0.671,-2.749,0.792,5,10
1494,Bad Guy,Billie Eilish,135.128,0.562,-10.965,0.425,7,11
1495,Dancing With A Stranger,Sam Smith & Normani,102.998,0.347,-7.513,0.52,8,12
1496,Shallow,Lady Gaga & Bradley Cooper,95.799,0.323,-6.362,0.385,7,13
1497,Eastside,"benny blanco, Halsey & Khalid",89.391,0.319,-7.648,0.68,6,14
1498,Going Bad,Meek Mill Featuring Drake,86.003,0.544,-6.365,0.496,4,15
1499,Sweet But Psycho,Ava Max,133.002,0.628,-4.724,0.704,1,16
1500,Thotiana,Blueface,104.025,0.391,-12.89,0.382,10,17
1501,Talk,Khalid,135.984,0.346,-8.575,0.4,0,18
1502,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,169.999,0.335,-5.29,0.554,5,19
1503,High Hopes,Panic! At The Disco,82.014,0.681,-2.729,0.904,5,20
1504,Beautiful Crazy,Luke Combs,103.313,0.382,-7.431,0.402,11,21
1505,A Lot,21 Savage,145.972,0.274,-7.643,0.636,1,22
1506,Girls Like You,Maroon 5 Featuring Cardi B,124.959,0.448,-6.825,0.541,0,23
1507,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,144.111,0.492,-5.029,0.758,1,24
1508,Sicko Mode,Travis Scott,155.008,0.446,-3.714,0.73,8,25
1509,Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,79.351,0.702,-5.152,0.833,5,26
1510,Cool,Jonas Brothers,78.969,0.62,-5.487,0.598,0,27
1511,Murder On My Mind,YNW Melly,115.007,0.74,-7.985,0.73,0,28
1512,Be Alright,Dean Lewis,126.684,0.443,-6.319,0.586,11,29
1513,Bury A Friend,Billie Eilish,120.046,0.196,-14.505,0.389,8,30
1514,"Thank U, Next",Ariana Grande,106.966,0.412,-5.634,0.653,1,31
1515,Drip Too Hard,Lil Baby & Gunna,112.511,0.389,-6.903,0.662,1,32
